Number,Tool Name,Description,Action Prompt
1,ChatGPT,"Use it for ideas, writing, replies, and planning.","Act as my content strategist. Ask me 5 questions, then plan 10 posts for my niche."
2,GPT-Image 1,"Turn text into thumbnails, ads, and product images.","Create a 3:4 viral Facebook image about 'AI side hustles' in bold, colorful style."
3,Claude.ai,"Great for long documents and deep thinking.","Read this text and turn it into 10 short viral Facebook posts with hooks and CTAs."
4,Gemini,"Use it like a research assistant and coder.","Explain this topic in simple English, then give 5 post ideas and 5 title ideas."
5,Perplexity,"Perfect for fast fact-checking and research.","Research 2025 AI trends for content creators. Give me 10 insights with simple examples."
6,NotebookLM,"Upload your notes, PDFs, or transcripts and chat with them.","Turn these notes into a 5-day mini course with lessons, hooks, and homework."
7,Sifu Chat,"Treat it like your personal AI coach or mentor.","You are my social media coach. Audit my last 10 posts and tell me what to fix."
8,Midjourney,"Create high-quality, stylized images on Discord.","Ultra-sharp 4K poster about 'Learn AI in 30 days', bold typography, neon colors."
9,GPT-Image 1 (advanced),"Refine images with variations and edits.","Improve this image for Facebook: bigger text, higher contrast, more scroll-stopping colors."
10,LOVART,"Great for aesthetic portraits and creative posters.","Minimal, premium-style promo image for an online AI class, black and gold theme."
11,Nano Banana / Google Images,"Test posters, product mockups, and social graphics.","Create 5 poster variations for an 'AI for beginners' workshop, different color themes."
12,Gamma,"Turn ideas into decks, carousels, and one-pagers.","Turn this 30-day AI plan into a slide deck and a 10-page carousel outline."
13,Sora,"Text-to-video for cinematic clips.","8-second video of a creator learning AI at night, city lights, cinematic, 4K."
14,Kling,"Great for smooth, dynamic videos.","10-second vertical video, smartphone POV, someone scrolling AI tools on screen."
15,Runway,"Edit and remix your clips with AI.","Remove background, add subtitles, and make this clip TikTok/Reels ready."
16,VEO,"Test Google's video model for B-roll and explainers.","Short explainer video about 'Why every creator needs an AI workflow'."
17,Suno,"Create full songs and background tracks from text.","30-second energetic track for a short AI tutorial video, no vocals."
18,ElevenLabs,"Make voiceovers and consistent creator voices.","Turn this script into a calm, confident voiceover for a 30-second reel."
19,Microsoft Copilot,"Use it inside Office/Windows for daily work.","Summarize this document in 10 bullets and write 3 email versions from it."
20,Notion AI,"Organize tasks, content, and notes with AI.","Look at my content database and suggest a one-week posting schedule."
21,Google AI Studio,"Build a simple chatbot for your audience.","Design a bot that answers FAQs about my AI course and captures leads."
22,Lindy,"Let agents handle repetitive tasks.","Create an agent that cleans my inbox and tags emails by priority and topic."
23,DeepSeek,"Use open models for coding and analysis.","Review this script and suggest 3 ways to automate it with AI tools."
24,Kimi K2,"Great for long-context research and planning.","Here is my 3-month goal. Analyze it and give me a weekly AI-powered action plan."
25,Grok (chat),"Use it to read trends and culture on X.","Show me 10 viral AI posts from this week and explain why they worked."
26,Grok Imagine,"Turn ideas into quick memes and images.","Create a meme about 'people still not using AI in 2025' for X and Facebook."
27,HeyGen,"Turn scripts into avatar videos.","Make a 30-second talking head video that explains this 30-day AI plan."
28,InVideo,"Turn scripts and blogs into short videos.","Convert this Facebook post into a 45-second video with captions and stock clips."
29,Voicenotes,"Capture ideas on the go.","Record a voice note, then tell your AI: 'Turn this voice notes into 3 hooks and 1 full post.'"
30,Otter.ai,"Record calls, coaching, and meetings, then repurpose.","Turn this call transcript into 5 carousels, 10 hooks, and 3 email ideas."